divipola5,anio,hurto_personas_total,hurto_vehiculos_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
41660,2023,5,6.0,2.0,0.0,259.8,0.0,0.0,0.0,0.0,0.0,,,,0,11265.0,4.438526409232135,5.326231691078561,1.775410563692854,0.0,0.0,0.0
41660,2024,4,15.0,3.0,6.0,210.0,0.0,0.0,0.0,0.0,0.0,,,,0,11405.0,3.507233669443227,13.1521262604121,2.6304252520824196,0.0,0.0,0.0
41660,2025,10,9.0,8.0,14.0,304.5,0.0,0.0,0.0,0.0,0.0,,,,0,11545.0,8.661758336942398,7.79558250324816,6.929406669553919,0.0,0.0,0.0
41668,2003,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,28991.0,3.794280983753579,0.0,0.0,0.0,0.0,0.0
41668,2004,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,29341.0,2.726560103609284,0.0,0.0,0.0,0.0,0.0
41668,2005,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,29680.0,3.369272237196766,0.0,0.0,0.0,0.0,0.0
41668,2006,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,29999.0,15.000500016667223,0.0,0.0,0.0,0.0,0.0
41668,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,30324.0,2.3084025854108954,0.0,0.0,0.0,0.0,0.0
41668,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,30646.0,0.32630685897017553,0.0,0.0,0.0,0.0,0.0
41668,2009,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,30976.0,5.810950413223141,0.0,0.0,0.0,0.0,0.0
41668,2010,8,16.0,15.0,64.7,2117.0,0.0,0.0,0.0,0.0,0.0,,,,0,31294.0,2.5564005879721354,5.112801175944271,4.793251102447753,0.0,0.0,0.0
41668,2011,14,17.0,13.0,31.01,235.22,0.0,0.0,0.0,0.0,0.0,,,,0,31623.0,4.427157448692407,5.375834044840781,4.11093191664295,0.0,0.0,0.0
41668,2012,9,17.0,19.0,174.12,11505.19,0.0,0.0,0.0,0.0,0.0,,,,0,31944.0,2.8174305033809164,5.321813173052842,5.947908840470824,0.0,0.0,0.0
41668,2013,31,18.0,16.0,101.18,755425.45,0.0,0.0,0.0,0.0,0.0,,,,0,32269.0,9.606743314016548,5.5781090210418665,4.958319129814993,0.0,0.0,0.0
41668,2014,14,20.0,20.0,2302.21,1304.98,0.0,0.0,0.0,0.0,0.0,,,,0,32586.0,4.296323574541214,6.137605106487448,6.137605106487448,0.0,0.0,0.0
41668,2015,36,23.0,17.0,47.25,679630.9600000001,0.0,0.0,0.0,0.0,0.0,,,,0,32894.0,10.944245151091383,6.992156624308385,5.168115765793154,0.0,0.0,0.0
41668,2016,24,15.0,16.0,122.74,3257.16,0.0,0.0,0.0,0.0,0.0,,,,0,33202.0,7.22848021203542,4.5178001325221375,4.818986808023613,0.0,0.0,0.0
41668,2017,28,22.0,21.0,143.2,18883.0,0.0,0.0,0.0,0.0,0.0,,,,0,33517.0,8.353969627353283,6.563833278634722,6.2654772205149625,0.0,0.0,0.0
41668,2018,21,23.0,24.0,108.2,3859.7,0.0,0.0,0.0,0.0,0.0,,,,0,33814.0,6.210445377654226,6.801916366002248,7.097651860176258,0.0,0.0,0.0
41668,2019,43,19.0,19.0,129.3,1801.8,0.0,0.0,0.0,0.0,0.0,,,,0,34120.0,12.602579132473622,5.568581477139508,5.568581477139508,0.0,0.0,0.0
