divipola5,anio,hurto_personas_total,hurto_vehiculos_total,hurto_residencias_total,hurto_comercio_total,capturas_total,homicidios_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,hurto_total,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,hurto_residencias_per_capita,hurto_comercio_per_capita,hurto_total_per_capita,capturas_per_capita,homicidios_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
68572,2010,47,3.0,14.0,4.0,16.0,5.0,9.0,55.0,24259.5,68.0,0.0,0.0,0.0,0.0,0.0,,,,0,13451.0,34.94164002676381,2.2303174485168387,10.40814809307858,2.973756598022452,50.553862166381684,11.895026392089807,3.717195747528065,6.690952345550516,0.0,0.0,0.0
68572,2011,38,4.0,17.0,3.0,13.0,0.0,15.0,63.0,212.0,62.0,0.0,0.0,0.0,0.0,0.0,,,,0,13255.0,28.66842700867597,3.017729158807997,12.825348924933987,2.263296869105998,46.77480196152395,9.80761976612599,0.0,11.31648434552999,0.0,0.0,0.0
68572,2012,48,1.0,13.0,4.0,20.0,0.0,11.0,72.0,32189.0,66.0,0.0,0.0,0.0,0.0,0.0,,,,0,13054.0,36.77033859353455,0.7660487206986364,9.958633369082273,3.0641948827945455,50.55921556611001,15.32097441397273,0.0,8.426535927685,0.0,0.0,0.0
68572,2013,34,5.0,18.0,1.0,14.0,0.0,23.0,3.0,355.3,58.0,0.0,0.0,0.0,0.0,0.0,,,,0,12860.0,26.43856920684292,3.8880248833592534,13.996889580093312,0.7776049766718507,45.10108864696734,10.88646967340591,0.0,17.884914463452567,0.0,0.0,0.0
68572,2014,38,1.0,24.0,3.0,17.0,1.0,29.0,74.0,1598.2,66.0,0.0,0.0,0.0,0.0,0.0,,,,0,12668.0,29.996842437638147,0.7893905904641616,18.945374171139882,2.3681717713924852,52.099778970634674,13.41964003789075,0.7893905904641616,22.89232712346069,0.0,0.0,0.0
68572,2015,35,4.0,8.0,5.0,14.0,3.0,32.0,149.3,362.7,52.0,0.0,0.0,0.0,0.0,0.0,,,,0,12476.0,28.053863417762102,3.2061558191728117,6.412311638345623,4.007694773966015,41.68002564924655,11.221545367104842,2.404616864379609,25.649246553382493,0.0,0.0,0.0
68572,2016,27,1.0,11.0,4.0,34.0,1.0,22.0,313.8,2822.8,43.0,0.0,0.0,0.0,0.0,0.0,,,,0,12270.0,22.00488997555012,0.8149959250203749,8.964955175224123,3.2599837000814995,35.04482477587612,27.70986145069275,0.8149959250203749,17.929910350448246,0.0,0.0,0.0
68572,2017,16,4.0,22.0,6.0,29.0,2.0,7.0,15.8,242.0,48.0,0.0,0.0,0.0,0.0,0.0,,,,0,12086.0,13.238457719675658,3.3096144299189145,18.20287936455403,4.964421644878371,39.71537315902697,23.99470461691213,1.6548072149594573,5.791825252358101,0.0,0.0,0.0
68572,2018,11,1.0,15.0,10.0,27.0,1.0,4.0,35.0,745.0,37.0,0.0,0.0,0.0,0.0,0.0,,,,0,11900.0,9.243697478991598,0.8403361344537815,12.605042016806724,8.403361344537815,31.092436974789916,22.6890756302521,0.8403361344537815,3.361344537815126,0.0,0.0,0.0
68572,2019,12,2.0,23.0,7.0,38.0,0.0,7.0,48.0,1089.0,44.0,0.0,0.0,0.0,0.0,0.0,,,,0,11718.0,10.240655401945725,1.7067759003242875,19.627922853729306,5.973715651135006,37.54906980713432,32.428742106161465,0.0,5.973715651135006,0.0,0.0,0.0
